Mnemonic,Opcode,Format
br,001100100,RI16
bra,001100000,RI16
brsl,001100110,RI16
brasl,001100010,RI16
bi,00110101000,?
bisl,00110101001,?
brnz,001000010,RI16
brz,001000000,RI16
brhnz,001000110,RI16
brhz,001000100,RI16
cntb,01010110100,RR
avgb,00011010011,RR
absdb,00001010011,RR
sumb,01001010011,RR
lnop,00000000001,RR
nop,01000000001,RR
lqa,001100001,RI16
lqx,00111000100,RR
stqa,001000001,RI16
stqx,00101000100,RR
ilh,010000011,RI16
ilhu,010000010,RI16
il,010000001,RI16
ila,0100001,RI18
iohl,011000001,RI16
shufb,1011,RRR
shlqbi,00111011011,RR
shlqbii,00111111011,RI7
shlqby,00111011111,RR
shlqbyi,00111111111,RI7
shlqbybi,00111001111,RR
gbb,00110110010,RR
gb,00110110000,RR
gbh,00110110001,RR
roth,00001011100,RR
rothi,00001111100,RI7
rotqbi,00111011000,RR
rotqbii,00111111000,RI7
rothm,00001011101,RR
rothmi,00001111101,RI7
rotqby,00111011100,RR
rotqbyi,00111111100,RI7
rotqbybi,00111001100,RR
rotqmby,00111011101,RR
rotqmbyi,00111111101,RI7
and,00011000001,RR
andi,00010100,RI10
or,00001000001,RR
ori,00000100,RI10
xor,01001000001,RR
xori,01000100,RI10
nand,00011001001,RR
nor,00001001001,RR
eqv,01001001001,RR
a,00011000000,RR
sf,00001000000,RR
clz,01010100101,RR
andbi,00010110,RI10
orbi,00000110,RI10
xorbi,01000110,RI10
ceqh,01111001000,RR
ceqhi,01111101,RI10
ceq,01111000000,RR
ceqi,01111100,RI10
cgth,01001001000,RR
cgthi,01001101,RI10
cgt,01001000000,RR
cgti,01001100,RI10
clgth,01011001000,RR
clgthi,01011101,RI10
clgt,01011000000,RR
clgti,01011100,RI10
rot,00001011000,RR
roti,00001111000,RI7
fa,01011000100,RR
fs,01011000101,RR
fm,01011000110,RR
fma,1110,RRR
mpy,01111000100,RR
stop,00000000000,?
mpyu,01111001100,RR
mpya,1100,RRR
mpyi,01110100,RI10